,album,artist_ratio,artists,id,name,popularity,preview_url,title_ratio,uri
1486,Things That We Drink To,100.0,Morgan Evans,4f3fb3alVLFc8Ga4ncpg7x,Kiss Somebody,67.0,https://p.scdn.co/mp3-preview/47559b56a7fa0835bad5565b80e49fd36b9d1f8f?cid=a3bd1ba0ea4b487cb3be4f9b0c6fcd4f,100.0,spotify:track:4f3fb3alVLFc8Ga4ncpg7x
1487,Morgan Evans EP,100.0,Morgan Evans,3ybizYvumTdCEoa3UhkEq7,Kiss Somebody,19.0,https://p.scdn.co/mp3-preview/47559b56a7fa0835bad5565b80e49fd36b9d1f8f?cid=a3bd1ba0ea4b487cb3be4f9b0c6fcd4f,100.0,spotify:track:3ybizYvumTdCEoa3UhkEq7
1488,Sweetener,100.0,Ariana Grande,14kYOiFVPb7E7NfFbqhdln,goodnight n go,71.0,,100.0,spotify:track:14kYOiFVPb7E7NfFbqhdln
1489,Made For Now,81.0,"Janet Jackson, Daddy Yankee",2Ul7yRZaxGcWCzQg7m632Z,Made For Now,54.0,https://p.scdn.co/mp3-preview/0506ba7dde3e811a4d70fa65cf54b783fb89d1ec?cid=a3bd1ba0ea4b487cb3be4f9b0c6fcd4f,100.0,spotify:track:2Ul7yRZaxGcWCzQg7m632Z
1490,Sweetener,96.0,"Ariana Grande, Nicki Minaj",0sdbFOyfgAhAhWq8DpzkaW,the light is coming (feat. Nicki Minaj),63.0,,97.0,spotify:track:0sdbFOyfgAhAhWq8DpzkaW
1491,Sweetener,96.0,"Ariana Grande, Nicki Minaj",2uNre8fPMLoYIVj1P93qVE,the light is coming (feat. Nicki Minaj),43.0,,97.0,spotify:track:2uNre8fPMLoYIVj1P93qVE
1492,Growing Pains,100.0,Alessia Cara,003eoIwxETJujVWmNFMoZy,Growing Pains,55.0,,100.0,spotify:track:003eoIwxETJujVWmNFMoZy
1493,Laps Around The Sun,95.0,"Chris Lane, Tori Kelly",0N9uZRrJQ3lO5TmInEjLxc,Take Back Home Girl (feat. Tori Kelly),70.0,https://p.scdn.co/mp3-preview/7c2621cd57ed155602d5d8ebc538269838632b65?cid=a3bd1ba0ea4b487cb3be4f9b0c6fcd4f,97.0,spotify:track:0N9uZRrJQ3lO5TmInEjLxc
1494,Country Summer,95.0,"Chris Lane, Tori Kelly",5pyPHNbll7b3RDwVyLL7UG,Take Back Home Girl,22.0,,100.0,spotify:track:5pyPHNbll7b3RDwVyLL7UG
1495,Sweetener,100.0,Ariana Grande,0XOnMqLQDO89iAg7dWWwnG,pete davidson,63.0,,100.0,spotify:track:0XOnMqLQDO89iAg7dWWwnG
1496,Queen,100.0,Nicki Minaj,1e4rwBPVI32vZtTJu7mJ4J,Chun-Li,71.0,,100.0,spotify:track:1e4rwBPVI32vZtTJu7mJ4J
1497,Queen,95.0,"Nicki Minaj, Lil Wayne",2D1MK9oaxy7axXggy3iVbp,Rich Sex (feat. Lil Wayne),60.0,,94.0,spotify:track:2D1MK9oaxy7axXggy3iVbp
