Unnamed: 0,acousticness,album,analysis_url,artist_levenshtein,artists,billboard_SongID,billboard_Unnamed: 0,billboard_artist,billboard_date,billboard_isNew,billboard_lastPos,billboard_peakPos,billboard_rank,billboard_title,billboard_weeks,danceability,duration_ms,energy,id,instrumentalness,key,liveness,loudness,mode,name,popularity,preview_url,speechiness,tempo,time_signature,title_levenshtein,track_href,uri,valence
38.0,0.268,Walk Em Down (feat. Roddy Ricch),https://api.spotify.com/v1/audio-analysis/4cSSL3YafYjM3yjgFO1vJg,96.0,"NLE Choppa, Roddy Ricch",Walk Em DownNLE Choppa Featuring Roddy Ricch,40.0,NLE Choppa Featuring Roddy Ricch,2020-07-11,0.0,39.0,38.0,40.0,Walk Em Down,15.0,0.867,173288.0,0.744,4cSSL3YafYjM3yjgFO1vJg,0.0,9.0,0.0713,-5.171,0.0,Walk Em Down (feat. Roddy Ricch),88.0,https://p.scdn.co/mp3-preview/06dc9625d973fa2fae9a7565a35fb996011f75b7?cid=a3bd1ba0ea4b487cb3be4f9b0c6fcd4f,0.228,84.005,4.0,96.0,https://api.spotify.com/v1/tracks/4cSSL3YafYjM3yjgFO1vJg,spotify:track:4cSSL3YafYjM3yjgFO1vJg,0.645
39.0,0.305,STELLA & STEVE,https://api.spotify.com/v1/audio-analysis/4nK5YrxbMGZstTLbvj6Gxw,95.0,"BENEE, Gus Dapperton",SupalonelyBENEE Featuring Gus Dapperton,41.0,BENEE Featuring Gus Dapperton,2020-07-11,0.0,42.0,39.0,41.0,Supalonely,16.0,0.863,223480.0,0.631,4nK5YrxbMGZstTLbvj6Gxw,3.04e-05,7.0,0.123,-4.689,1.0,Supalonely,93.0,,0.0534,128.977,4.0,100.0,https://api.spotify.com/v1/tracks/4nK5YrxbMGZstTLbvj6Gxw,spotify:track:4nK5YrxbMGZstTLbvj6Gxw,0.817
40.0,0.837,Memories,https://api.spotify.com/v1/audio-analysis/2b8fOow8UzyDFAE27YhOZM,100.0,Maroon 5,MemoriesMaroon 5,42.0,Maroon 5,2020-07-11,0.0,40.0,2.0,42.0,Memories,41.0,0.764,189486.0,0.32,2b8fOow8UzyDFAE27YhOZM,0.0,11.0,0.0822,-7.209,1.0,Memories,90.0,,0.0546,91.019,4.0,100.0,https://api.spotify.com/v1/tracks/2b8fOow8UzyDFAE27YhOZM,spotify:track:2b8fOow8UzyDFAE27YhOZM,0.575
41.0,0.111,Fully Loaded: God's Country,https://api.spotify.com/v1/audio-analysis/5M8goiFYynmNxhueYW6grR,83.0,"Blake Shelton, Gwen Stefani",Nobody But YouBlake Shelton Duet With Gwen Stefani,43.0,Blake Shelton Duet With Gwen Stefani,2020-07-11,0.0,44.0,18.0,43.0,Nobody But You,25.0,0.463,194867.0,0.653,5M8goiFYynmNxhueYW6grR,0.000136,0.0,0.172,-5.515,1.0,Nobody But You (Duet with Gwen Stefani),74.0,https://p.scdn.co/mp3-preview/0e127846b81767bf42658ea6922bf04e071ae89f?cid=a3bd1ba0ea4b487cb3be4f9b0c6fcd4f,0.0273,143.912,4.0,97.0,https://api.spotify.com/v1/tracks/5M8goiFYynmNxhueYW6grR,spotify:track:5M8goiFYynmNxhueYW6grR,0.233
42.0,0.212,Meet The Woo,https://api.spotify.com/v1/audio-analysis/79s5XnCN4TJKTVMSmOx8Ep,100.0,Pop Smoke,DiorPop Smoke,44.0,Pop Smoke,2020-07-11,0.0,46.0,30.0,44.0,Dior,20.0,0.548,216387.0,0.805,79s5XnCN4TJKTVMSmOx8Ep,0.000389,7.0,0.408,-5.732,1.0,Dior,85.0,,0.351,142.094,4.0,100.0,https://api.spotify.com/v1/tracks/79s5XnCN4TJKTVMSmOx8Ep,spotify:track:79s5XnCN4TJKTVMSmOx8Ep,0.648
43.0,0.363,Die From A Broken Heart,https://api.spotify.com/v1/audio-analysis/1kFpL1itkwkdhO6kcmNJra,100.0,Maddie & Tae,Die From A Broken HeartMaddie & Tae,45.0,Maddie & Tae,2020-07-11,0.0,51.0,45.0,45.0,Die From A Broken Heart,12.0,0.607,188291.0,0.514,1kFpL1itkwkdhO6kcmNJra,0.0,4.0,0.258,-6.631,1.0,Die From A Broken Heart,73.0,,0.0323,75.978,4.0,100.0,https://api.spotify.com/v1/tracks/1kFpL1itkwkdhO6kcmNJra,spotify:track:1kFpL1itkwkdhO6kcmNJra,0.414
44.0,0.128,hot girl bummer,https://api.spotify.com/v1/audio-analysis/7aiClxsDWFRQ0Kzk5KI5ku,100.0,blackbear,Hot Girl Bummerblackbear,46.0,blackbear,2020-07-11,0.0,47.0,11.0,46.0,Hot Girl Bummer,42.0,0.778,185093.0,0.559,7aiClxsDWFRQ0Kzk5KI5ku,0.0,6.0,0.399,-7.109,0.0,hot girl bummer,87.0,,0.0776,129.989,1.0,100.0,https://api.spotify.com/v1/tracks/7aiClxsDWFRQ0Kzk5KI5ku,spotify:track:7aiClxsDWFRQ0Kzk5KI5ku,0.678
45.0,0.0484,Here And Now,https://api.spotify.com/v1/audio-analysis/7qRVyZDt1Caftkk8CQlKtk,100.0,Kenny Chesney,Here And NowKenny Chesney,47.0,Kenny Chesney,2020-07-11,0.0,38.0,38.0,47.0,Here And Now,13.0,0.509,171493.0,0.814,7qRVyZDt1Caftkk8CQlKtk,0.0,9.0,0.12,-3.576,1.0,Here And Now,72.0,https://p.scdn.co/mp3-preview/64206e3491e3761de88f22243dc643e735cac9c5?cid=a3bd1ba0ea4b487cb3be4f9b0c6fcd4f,0.0532,148.034,4.0,100.0,https://api.spotify.com/v1/tracks/7qRVyZDt1Caftkk8CQlKtk,spotify:track:7qRVyZDt1Caftkk8CQlKtk,0.712
46.0,0.0249,6-Pack,https://api.spotify.com/v1/audio-analysis/5blHL2xSCGv00fr1DGuvEf,100.0,Florida Georgia Line,I Love My CountryFlorida Georgia Line,48.0,Florida Georgia Line,2020-07-11,0.0,53.0,48.0,48.0,I Love My Country,11.0,0.527,184573.0,0.943,5blHL2xSCGv00fr1DGuvEf,0.0,4.0,0.373,-3.56,1.0,I Love My Country,74.0,,0.065,140.132,4.0,100.0,https://api.spotify.com/v1/tracks/5blHL2xSCGv00fr1DGuvEf,spotify:track:5blHL2xSCGv00fr1DGuvEf,0.584
47.0,0.184,Wash Us In The Blood,https://api.spotify.com/v1/audio-analysis/7mEUjhl6aTztdHCrxoTgBG,96.0,"Kanye West, Travis Scott",Wash Us In The BloodKanye West Featuring Travis Scott,49.0,Kanye West Featuring Travis Scott,2020-07-11,1.0,0.0,49.0,49.0,Wash Us In The Blood,1.0,0.67,189827.0,0.847,7mEUjhl6aTztdHCrxoTgBG,0.0,10.0,0.304,-4.85,1.0,Wash Us In The Blood,84.0,,0.409,137.22,4.0,100.0,https://api.spotify.com/v1/tracks/7mEUjhl6aTztdHCrxoTgBG,spotify:track:7mEUjhl6aTztdHCrxoTgBG,0.381
48.0,0.24,Hot Pink,https://api.spotify.com/v1/audio-analysis/4EivmOT13NMpNSfTKn9p4s,95.0,"Doja Cat, Gucci Mane",Like ThatDoja Cat Featuring Gucci Mane,51.0,Doja Cat Featuring Gucci Mane,2020-07-11,0.0,72.0,51.0,51.0,Like That,5.0,0.879,163173.0,0.499,4EivmOT13NMpNSfTKn9p4s,0.0,4.0,0.0967,-6.027,0.0,Like That (feat. Gucci Mane),85.0,https://p.scdn.co/mp3-preview/a3fa1e34dd1b9c96a8070384c86210c98002f667?cid=a3bd1ba0ea4b487cb3be4f9b0c6fcd4f,0.18,106.043,4.0,95.0,https://api.spotify.com/v1/tracks/4EivmOT13NMpNSfTKn9p4s,spotify:track:4EivmOT13NMpNSfTKn9p4s,0.405
49.0,0.621,9,https://api.spotify.com/v1/audio-analysis/4TCc369aRPRubv1m8R1TBG,100.0,Jason Aldean,Got What I GotJason Aldean,52.0,Jason Aldean,2020-07-11,0.0,67.0,52.0,52.0,Got What I Got,5.0,0.512,178147.0,0.58,4TCc369aRPRubv1m8R1TBG,1.72e-05,3.0,0.513,-6.658,0.0,Got What I Got,76.0,https://p.scdn.co/mp3-preview/7525b91a07fecb01947cbfd16d1760b0541cdf1b?cid=a3bd1ba0ea4b487cb3be4f9b0c6fcd4f,0.029,159.847,3.0,100.0,https://api.spotify.com/v1/tracks/4TCc369aRPRubv1m8R1TBG,spotify:track:4TCc369aRPRubv1m8R1TBG,0.303
