,album,artist_levenshtein,artists,billboard_SongID,billboard_Unnamed: 0,billboard_artist,billboard_date,billboard_isNew,billboard_lastPos,billboard_peakPos,billboard_rank,billboard_title,billboard_weeks,id,name,popularity,preview_url,title_levenshtein,uri
2241,Ripcord,100.0,Keith Urban,"John Cougar, John Deere, John 3:16Keith Urban",24280.0,Keith Urban,2015-11-07,0.0,70.0,40.0,78.0,"John Cougar, John Deere, John 3:16",20.0,72f7jNxopSGvbx3M35i3Zl,"John Cougar, John Deere, John 3:16",63.0,,100.0,spotify:track:72f7jNxopSGvbx3M35i3Zl
2242,What A Time To Be Alive,89.0,"Drake, Future",Live From The GutterDrake & Future,24295.0,Drake & Future,2015-11-07,0.0,93.0,74.0,93.0,Live From The Gutter,5.0,2uTG00P1DkhB97pdITkl2O,Live From The Gutter,57.0,,100.0,spotify:track:2uTG00P1DkhB97pdITkl2O
2243,What A Time To Be Alive,89.0,"Drake, Future",I'm The PlugDrake & Future,24298.0,Drake & Future,2015-11-07,0.0,84.0,76.0,96.0,I'm The Plug,5.0,6bqtKURdSWkInAJHDkuaL0,I'm The Plug,55.0,,100.0,spotify:track:6bqtKURdSWkInAJHDkuaL0
2244,Pentatonix (Deluxe Version),100.0,Pentatonix,Can't Sleep LovePentatonix,24301.0,Pentatonix,2015-11-07,1.0,0.0,99.0,99.0,Can't Sleep Love,1.0,1klGbW5a9qTBFUjFfddbmU,Can't Sleep Love,61.0,https://p.scdn.co/mp3-preview/44e9e407fc2218a7ebcf14a0310f908822f1a166?cid=a3bd1ba0ea4b487cb3be4f9b0c6fcd4f,100.0,spotify:track:1klGbW5a9qTBFUjFfddbmU
2245,Beauty Behind The Madness,100.0,The Weeknd,Earned It (Fifty Shades Of Grey)The Weeknd,24350.0,The Weeknd,2015-10-31,0.0,47.0,3.0,48.0,Earned It (Fifty Shades Of Grey),43.0,4frLb7nWtsz2ymBE6k2GRP,Earned It (Fifty Shades Of Grey),70.0,,100.0,spotify:track:4frLb7nWtsz2ymBE6k2GRP
2246,Bad Blood,96.0,"Taylor Swift, Kendrick Lamar",Bad BloodTaylor Swift Featuring Kendrick Lamar,24351.0,Taylor Swift Featuring Kendrick Lamar,2015-10-31,0.0,46.0,1.0,49.0,Bad Blood,25.0,6xsEAm6w9oMQYYg3jkEkMT,Bad Blood,65.0,,100.0,spotify:track:6xsEAm6w9oMQYYg3jkEkMT
2247,Montevallo,100.0,Sam Hunt,House PartySam Hunt,24370.0,Sam Hunt,2015-10-31,0.0,63.0,26.0,68.0,House Party,20.0,1TwLKNsCnhi1HxbIi4bAW0,House Party,74.0,,100.0,spotify:track:1TwLKNsCnhi1HxbIi4bAW0
2248,What A Time To Be Alive,89.0,"Drake, Future",Change LocationsDrake & Future,24398.0,Drake & Future,2015-10-31,0.0,86.0,82.0,96.0,Change Locations,3.0,4gowy3WT6D1yhMLgRBlf9C,Change Locations,55.0,,100.0,spotify:track:4gowy3WT6D1yhMLgRBlf9C
2249,"I like it when you sleep, for you are so beautiful yet so unaware of it",100.0,The 1975,Love MeThe 1975,24402.0,The 1975,2015-10-31,1.0,0.0,100.0,100.0,Love Me,1.0,5hRzAbY2AAO258hL6oqsqO,Love Me,57.0,,100.0,spotify:track:5hRzAbY2AAO258hL6oqsqO
2250,American Beauty/American Psycho,100.0,Fall Out Boy,Uma ThurmanFall Out Boy,24445.0,Fall Out Boy,2015-10-24,0.0,37.0,22.0,43.0,Uma Thurman,27.0,5PUawWFG1oIS2NwEcyHaCr,Uma Thurman,69.0,,100.0,spotify:track:5PUawWFG1oIS2NwEcyHaCr
